disease,description
hyperkalemia,"Hyperkalemia is a common electrolyte disturbance in both inpatient and outpatient clinical practice. The severity and associated risk depends on the underlying cause and rate of potassium (K+) increase. Acute hyperkalemia requires immediate attention due to potentially life-threatening manifestations resulting from the rapid increase in plasma K+ concentration. Treatment is initially focused on stabilizing the cardiac membrane, followed by maneuvers to shift K+ into the cells, and ultimately initiating strategies to decrease total body K+ content. Chronic hyperkalemia develops over a more extended period of time and manifestations tend to be less severe. Nevertheless, the disorder is not benign since chronic hyperkalemia is associated with increased morbidity and mortality. The approach to patients with chronic hyperkalemia begins with a review of medications potentially responsible for the disorder, ensuring effective diuretic therapy and correcting metabolic acidosis if present. The practice of restricting foods high in K+ to manage hyperkalemia is being reassessed since the evidence supporting the effectiveness of this strategy is lacking. Rather, dietary restriction should be more nuanced, focusing on reducing the intake of nonplant sources of K+. Down-titration and/or discontinuation of renin-angiotensin-aldosterone inhibitors should be discouraged since these drugs improve outcomes in patients with heart failure and proteinuric kidney disease. In addition to other conservative measures, K+ binding drugs and sodium-glucose cotransporter 2 inhibitors can assist in maintaining the use of these drugs...."
hypernatremia,"Hypernatremia is an occasionally encountered electrolyte disorder, which may lead to fatal consequences under improper management. Hypernatremia is a disorder of the homeostatic status regarding body water and sodium contents. This imbalance is the basis for the diagnostic approach to hypernatremia. We summarize the eight diagnostic steps of the traditional approach and introduce new biomarkers: exclude pseudohypernatremia, confirm glucose-corrected sodium concentrations, determine the extracellular volume status, measure urine sodium levels, measure urine volume and osmolality, check ongoing urinary electrolyte free water clearance, determine arginine vasopressin/copeptin levels, and assess other electrolyte disorders. Moreover, we suggest six steps to manage hypernatremia by replacing water deficits, ongoing water losses, and insensible water losses: identify underlying causes, distinguish between acute and chronic hypernatremia, determine the amount and rate of water administration, select the type of replacement solution, adjust the treatment schedule, and consider additional therapy for diabetes insipidus. Physicians may apply some of these steps to all patients with hypernatremia, and can also adapt the regimens for specific causes or situations...."
hyperparathyroidism,"We reviewed the etiology and management of secondary and tertiary hyperparathyroidism. Secondary hyperparathyroidism is characterized by an increase in parathyroid hormone (PTH) that is appropriate and in response to a stimulus, most commonly low serum calcium. In secondary hyperparathyroidism, the serum calcium is normal and the PTH level is elevated. Tertiary hyperparathyroidism is characterized by excessive secretion of PTH after longstanding secondary hyperparathyroidism, in which hypercalcemia has ensued. Tertiary hyperparathyroidism typically occurs in men and women with chronic kidney disease usually after kidney transplant. The etiology and treatment of secondary hyperparathyroidism is relatively straightforward whereas data on the management of tertiary hyperparathyroidism is limited to a few small trials with short follow-up...."
hypersensitivity pneumonitis,"The clinical and pathologic diagnosis of hypersensitivity pneumonitis has been confounded by conflicting definitions, with two recent guidelines suggesting that hypersensitivity pneumonitis simply be diagnosed as nonfibrotic or fibrotic. Nonfibrotic hypersensitivity pneumonitis is usually characterized by a bronchiolocentric chronic interstitial inflammatory infiltrate, frequently but by no means always with associated granulomas or giant cells. Fibrotic hypersensitivity pneumonitis may take the form of interstitial fibrosis confined to the peribronchiolar regions, or fibrotic nonspecific interstitial pneumonia, or a process similar to and sometimes indistinguishable from usual interstitial pneumonia/idiopathic interstitial fibrosis, but the exact pathologic features that favor a diagnosis of fibrotic hypersensitivity pneumonitis are disputed. Granulomas/giant cells are much less frequent in fibrotic compared to nonfibrotic hypersensitivity pneumonitis. Extensive peribronchiolar metaplasia, particularly peribronchiolar metaplasia affecting more than half the bronchioles, supports a diagnosis of fibrotic hypersensitivity pneumonitis over usual interstitial pneumonia, as does the presence of predominantly peribronchiolar disease with relative subpleural sparing. Clinical and CT features are crucial to the diagnosis of hypersensitivity pneumonitis: sparing of the lung bases, centrilobular nodules, air-trapping, or the triple density sign with fibrosis favor a diagnosis of fibrotic hypersensitivity pneumonitis. At this point there are no molecular tests that reliably separate fibrotic hypersensitivity pneumonitis from other forms of interstitial lung disease. Currently the separation of fibrotic hypersensitivity pneumonitis from usual interstitial pneumonia is crucial to treatment (immunosuppressives for the former, anti-fibrotics for the latter) but this approach is changing and all progressive fibrosing interstitial pneumonias will probably be treated with antifibrotics in the future...."
hypertensive heart disease,"Hypertension is possibly the most powerful, modifiable risk factor for the development of heart failure. Chronic hypertension drives cardiac remodeling within the left ventricle resulting in hypertensive heart disease, which ultimately manifests as heart failure. Early detection and appropriate management are necessary to prevent heart failure as well as other cardiovascular diseases. Achieving blood pressure goals in conjunction with using evidence-based treatments can improve clinical outcomes for patients with comorbid hypertension and heart failure...."
hypocalcemia,"The aim of this clinical narrative review is to summarize and critically appraise the literature on the differential diagnosis of hypocalcemia and to provide its correct management. Calcium is essential for muscle contraction and neurotransmitter release, but clinical manifestations of hypocalcaemia (serum calcium level <8 mg/dl; 2.12 mmol/L) may involve almost any organ and system and may range from asymptomatic to life-threating conditions. Disorders causing hypocalcemia can be divided into parathyroid hormone (PTH) and non-PTH mediated. The most frequent cause of hypocalcemia is postsurgical hypoparathyroidism, while a more comprehensive search for other causes is needed for appropriate treatment in the non PTH-mediated forms. Intravenous calcium infusion is essential to raise calcium levels and resolve or minimize symptoms in the setting of acute hypocalcemia. Oral calcium and/or vitamin D supplementation is the most frequently used as treatment of chronic hypocalcemia. In hypoparathyroidism, providing the missing hormone with the use of the recombinant human (rh) PTH(1-84) has been recently approved both by the Food and Drug Administration (FDA) and the European Medicines Agency (EMA). This new therapy has the advantage of being effective for correcting serum calcium levels and significantly reducing the daily requirements of calcium and active vitamin D supplements. However, due to the high cost, a strict selection of candidates to this therapy is necessary. More challenging is the long-term hypocalcemia treatment, due to its associated complications. The development of long-acting recombinant human PTH will probably modify the management of chronic hypoparathyroidism in the future...."
hyponatremia,"Hyponatremia is a common water balance disorder that often poses a diagnostic or therapeutic challenge. Therefore, guidelines were developed by professional organizations, one from within the United States (2013) and one from within Europe (2014). This review discusses the diagnosis and treatment of hyponatremia, comparing the two guidelines and highlighting recent developments. Diagnostically, the initial step is to differentiate hypotonic from nonhypotonic hyponatremia. Hypotonic hyponatremia is further differentiated on the basis of urine osmolality, urine sodium level, and volume status. Recently identified parameters, including fractional uric acid excretion and plasma copeptin concentration, may further improve the diagnostic approach. The treatment for hyponatremia is chosen on the basis of duration and symptoms. For acute or severely symptomatic hyponatremia, both guidelines adopted the approach of giving a bolus of hypertonic saline. Although fluid restriction remains the first-line treatment for most forms of chronic hyponatremia, therapy to increase renal free water excretion is often necessary. Vasopressin receptor antagonists, urea, and loop diuretics serve this purpose, but received different recommendations in the two guidelines. Such discrepancies may relate to different interpretations of the limited evidence or differences in guideline methodology. Nevertheless, the development of guidelines has been important in advancing this evolving field...."
infection of open wound,"Background: Open fractures, defined as fractures communicating with the environment through a skin wound, cause substantial morbidity after traumatic injury. Current evidence supports administration of prophylactic systemic antibiotic agents to patients with open extremity fractures to decrease infectious complications. Methods: The Therapeutic and Guidelines Committee of The Surgical Infection Society convened to revise guidelines for antibiotic use in open fractures. PubMed was queried for pertinent studies. Evaluation of the published evidence was performed using the GRADE framework. All committee members voted to accept or reject each recommendation. Results: In type I or II open extremity fractures, we recommend against administration of extended-spectrum antibiotic coverage compared with gram-positive coverage alone to decrease infections complications, hospital length of stay or mortality. In type III open extremity fractures, we recommend antibiotic therapy for no more than 24 hrs after injury, in the absence of clinical signs of active infection, to decrease infectious complications, hospital length of stay or mortality, and we recommend against extended antimicrobial coverage beyond gram-positive organisms to decrease infectious complications, hospital length of stay or mortality. In type III open extremity fractures with associated bone loss, we recommend antibiotic therapy in addition to systemic therapy to decrease infectious complications. Conclusions: Although antibiotic agents remain a standard of care for infection prevention after open extremity fractures, our findings and surveys of clinical practice patterns clearly show that additional robust clinical trials are needed to provide stronger corroborating evidence...."
infectious gastroenteritis,"Despite the introduction of vaccination against rotavirus, and even though it can often be treated on an outpatient basis, acute infectious gastroenteritis is nevertheless the second most common non-traumatic cause of emergency hospitaliza - tion in children aged 1 to 5 years, accounting for approximately 9% of cases (39 410 cases in 2017). The most common path - ogens are viruses (47% rotavirus, 29% norovirus, and 14% adenovirus)...."
inguinal hernia,"Inguinal hernia is the most frequently diagnosed hernia and during their lifetime one third of males are diagnosed with an inguinal hernia. The age distribution is bimodal with the highest incidence in childhood and after 50 years of age. Diagnosis is usually reached through clinical examination of a lump in the inguinal region although some patients can present with intestinal obstruction. Inguinal hernia repair is the only definitive treatment and is one of the most common surgical procedures performed. It is usually performed as an elective procedure in local, spinal or general anasthesia. The repair constitutes of reinforcing the posterior wall of the inguinal canal, often using a polypropylene mesh; either via an open anterior approach or posteriorly from within the abdomen with laparoscopy. The most common complications following a hernia repair are recurrent hernia and chronic -discomfort but recurrence rates have improved with the use of mesh and laparoscopic techniques. This evidence based review describes the -epidemiology and etiology of inguinal hernia together with the most common surgical procedures; focusing on recent innovations...."
injury of the ankle,"The management protocol for each case of ankle sprain should be individualized and optimized in order to reduce the likelihood of development of chronic instability. Initial treatment aims to address pain, swelling, and inflammation and facilitates regaining pain-free joint motion. Short-term joint immobilization is indicated in severe cases. Subsequently, muscle strengthening, balance training, and targeted activities to develop proprioception are added. Gradually, sports-related activities are added with the ultimate goal of bringing the individual back to preinjury level of activity. This protocol of conservative treatment should always be offered before considering any surgical intervention...."
insomnia,"Insomnia-the unwelcome experience of difficulty sleeping-is common and can be acute, intermittent, or chronic. Insomnia can be the presenting symptom for several common sleep disorders, but it also often occurs comorbidly with mental and physical health conditions. Evaluating the symptom of insomnia requires assessing-largely by history-whether an underlying condition explains it. Insomnia disorder is the diagnostic term for the symptom of insomnia that merits specific attention. Cognitive behavioral therapy for insomnia is the preferred treatment approach because of its efficacy, safety, and durability of benefit, but pharmaceutical treatments are widely used for insomnia symptoms...."
intracranial abscess,These European Society of Clinical Microbiology and Infectious Diseases guidelines are intended for clinicians involved in diagnosis and treatment of brain abscess in children and adults....
iridocyclitis,"Posner-Schlossman syndrome, or glaucomatocyclitic crisis, is a unilateral ocular condition characterized by recurrent attacks of nongranulomatous anterior uveitis and raised intraocular pressure that can result in chronic secondary glaucoma. This relatively rare disease is most likely the result of recurrent cytomegalovirus infection and affects predominantly middle-aged males. Diagnosis is largely clinical, with aqueous and blood sampling aiding the identification of any underlying infectious cause. Successful disease management is often achieved by topical treatment, although systemic therapy and even surgical intervention may be required. We discuss our current understanding of Posner-Schlossman syndrome, from its pathophysiology through to recommended treatment options...."
irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a common chronic gastrointestinal disease with a significant impact on patients' quality of life and a high socioeconomic burden. And the understanding of IBS has changed since the release of the Rome IV diagnosis in 2016. With the upcoming Rome V revision, it is necessary to review the results of IBS research in recent years. In this review of IBS, we can highlight future concerns by reviewing the results of IBS research on epidemiology, overlap disorders, pathophysiology, and treatment over the past decade and summarizing the latest research...."
itching of unknown cause,"Itch pathogenesis is broadly characterized into histaminergic and nonhistaminergic pathways and transmitted via 2 main receptor families: G protein-coupled receptors and transient receptor potential channels. In the skin, itch is primarily transmitted by unmyelinated type C and thinly myelinated type Aδ nerve fibers. Crosstalk between the immune and neural systems modulates itch transmission at the skin, spinal cord, and brain. Among the many known pruritogens, Th2 cytokines, such as interleukin-4, interleukin-13, interleukin-31, and thymic stromal lymphopoietin, are particularly important mediators that signal through shared Janus kinase pathways, representing novel targets for novel itch therapeutics. Emerging evidence has also revealed that the opioidergic system is a potent modulator of itch transmission, with increased μ-opioid activity and decreased κ-opioid activity contributing to itch pathogenesis. Optimal management of itch requires that treatment approaches be tailored to specific etiologic itch subtypes. When the etiology is unknown and patients are given a diagnosis of chronic pruritus of unknown origin, treatment should be guided by the presence of Th2 polarization, often reflected by increased blood eosinophils. In the second article of this 2-part series, we outline our current understanding of itch pathogenesis and discuss available and emerging treatments for itch...."
kidney cancer,"Renal cell carcinoma (RCC) is the most common type of urogenital cancer. It has a mortality rate of 30-40% and is more commonly seen in men than women. In addition to gender, other risk factors of RCC include obesity, hypertension, smoking, and chronic kidney disease. Following the improvements in diagnostic tests, such as CT and MRI imaging, the incidence of patients diagnosed with RCC has rapidly increased over the past decades. The most common type of RCC, based on histological and molecular subtypes, is clear cell carcinoma which occurs frequently due to mutations in the VHL gene. Nephron-sparing surgery is a selective technique to maintain kidneys in patients while radical nephrectomy and partial nephrectomy are used to remove small tumors. In addition to surgical approaches, adjuvant therapy and targeted therapy are applied in patients with metastatic RCC. In this review, we give an overview of the most recent research on RCC which would help physicians to better manage patients with RCC...."
kidney failure,"Chronic kidney disease is highly prevalent (10-13% of the population), irreversible, progressive, and associated with higher cardiovascular risk. Patients with this pathology remain asymptomatic most of the time, presenting the complications typical of renal dysfunction only in more advanced stages. Its treatment can be conservative (patients without indication for dialysis, usually those with glomerular filtration rate above 15 ml/minute) or replacement therapy (hemodialysis, peritoneal dialysis, and kidney transplantation). The objectives of the conservative treatment for chronic kidney disease are to slow down the progression of kidney dysfunction, treat complications (anemia, bone diseases, cardiovascular diseases), vaccination for hepatitis B, and preparation for kidney replacement therapy...."
kidney stone,"The prevalence of kidney stone disease is increasing worldwide. The recurrence rate of urinary stones is estimated to be up to 50%. Nephrolithiasis is associated with increased risk of chronic and end stage kidney disease. Diet composition is considered to play a crucial role in urinary stone formation. There is strong evidence that an inadequate fluid intake is the major dietary risk factor for urolithiasis. While the benefit of high fluid intake has been confirmed, the effect of different beverages, such as tap water, mineral water, fruit juices, soft drinks, tea and coffee, are debated. Other nutritional factors, including dietary protein, carbohydrates, oxalate, calcium and sodium chloride can also modulate the urinary risk profile and contribute to the risk of kidney stone formation. The assessment of nutritional risk factors is an essential component in the specific dietary therapy of kidney stone patients. An appropriate dietary intervention can contribute to the effective prevention of recurrent stones and reduce the burden of invasive surgical procedures for the treatment of urinary stone disease. This narrative review has intended to provide a comprehensive and updated overview on the role of nutrition and diet in kidney stone disease...."
kidney stones,"Kidney stones are mineral deposits in the renal calyces and pelvis that are found free or attached to the renal papillae. They contain crystalline and organic components and are formed when the urine becomes supersaturated with respect to a mineral. Calcium oxalate is the main constituent of most stones, many of which form on a foundation of calcium phosphate called Randall's plaques, which are present on the renal papillary surface. Stone formation is highly prevalent, with rates of up to 14.8% and increasing, and a recurrence rate of up to 50% within the first 5 years of the initial stone episode. Obesity, diabetes, hypertension and metabolic syndrome are considered risk factors for stone formation, which, in turn, can lead to hypertension, chronic kidney disease and end-stage renal disease. Management of symptomatic kidney stones has evolved from open surgical lithotomy to minimally invasive endourological treatments leading to a reduction in patient morbidity, improved stone-free rates and better quality of life. Prevention of recurrence requires behavioural and nutritional interventions, as well as pharmacological treatments that are specific for the type of stone. There is a great need for recurrence prevention that requires a better understanding of the mechanisms involved in stone formation to facilitate the development of more-effective drugs...."
kwashiorkor,"Protein energy malnutrition (PEM) is a common problem worldwide and occurs in both developing and industrialized nations. In the developing world, it is frequently a result of socioeconomic, political, or environmental factors. In contrast, protein energy malnutrition in the developed world usually occurs in the context of chronic disease. There remains much variation in the criteria used to define malnutrition, with each method having its own limitations. Early recognition, prompt management, and robust follow up are critical for best outcomes in preventing and treating PEM...."
labyrinthitis,"Labyrinthitis most commonly results from an infectious and less commonly from an inflammatory process of the inner ear, but it can be associated with temporal bone trauma, hemorrhage, or tumor. This inflammation (regardless of the etiology) disrupts the transmission of sensory information from the ear to the brain. Labyrinthitis ossificans is the pathological ossification of the membranous labyrinthine spaces in response to an insult to the inner ear involving membranous labyrinth or the endosteum of the otic capsule. Herein, we present a case of a 67-year-old female with progressive bilateral sensorineural hearing loss and positional vertigo...."
leishmaniasis,"Leishmaniasis is a vector-borne infectious disease caused by multiple Leishmania (L.) species with diverse clinical manifestations. There is currently no vaccine against any form of the disease approved in humans, and chemotherapy is the sole approach for treatment. Unfortunately, treatment options are limited to a small number of drugs, partly due to high cost and significant adverse effects. The other obstacle in leishmaniasis treatment is the potential for drug resistance, which has been observed in multiple endemic countries. Immunotherapy maybe another important avenue for controlling leishmaniasis and could help patients control the disease. There are different approaches for immunotherapy in different infectious diseases, generally with low-cost, limited side-effects and no possibility to developing resistance. In this paper, different immunotherapy approaches as alternatives to routine drug treatment will be reviewed against leishmaniasis...."
leprosy,"Leprosy, also known as Hansen's disease, is a curable infectious disease that remains endemic in >140 countries around the world. Despite being declared ""eliminated"" as a global public health problem by the World Health Organization in the year 2000, approximately 200,000 new cases were reported worldwide in 2017. Widespread migration may bring leprosy to nonendemic areas, such as North America. In addition, there are areas in the United States where autochthonous (person-to-person) transmission of leprosy is being reported among Americans without a history of foreign exposure. In the first article in this continuing medical education series, we review leprosy epidemiology, transmission, classification, clinical features, and diagnostic challenges...."
leukemia,"Leukemias are a group of life threatening malignant disorders of the blood and bone marrow. In the adolescent and young adult (AYA) population, the acute leukemias are most prevalent, with chronic myeloid leukemia being infrequently seen. Factors associated with more aggressive disease biology tend to increase in frequency with increasing age, whilst tolerability of treatment strategies decreases. There are also challenges regarding the effective delivery of therapy specific to the AYA group, consequences on the unique psychosocial needs of this age group, including compliance. This chapter reviews the current status of epidemiology, pathophysiology, treatment strategies and outcomes of AYA leukemia, with a focus on acute lymphoblastic leukemia and acute myeloid leukemia...."
lice,"Human lice have always been a major public health concern due to their vector capacity for louse-borne infectious diseases, like trench fever, louse-borne relapsing fever, and epidemic fever, which are caused by Bartonella quintana, Borrelia recurrentis, and Rickettsia prowazekii, respectively. Those diseases are currently re-emerging in the regions of poor hygiene, social poverty, or wars with life-threatening consequences. These louse-borne diseases have also caused outbreaks among populations in jails and refugee camps. In addition, antibodies and DNAs to those pathogens have been steadily detected in homeless populations. Importantly, more bacterial pathogens have been detected in human lice, and some have been transmitted by human lice in laboratories. Here, we provide a comprehensive review and update on louse-borne infectious diseases/bacterial pathogens...."
lichen simplex,"Lichen simplex chronicus is a form of chronic localized pruritus with a secondary dermatitis, and one of the most common types of chronic itch conditions, estimated to affect more than 10% of the general population. However, despite its prevalence and burden, there has been limited research into the pathogenesis and aetiology of lichen simplex chronicus, which, historically, made it a challenging condition to treat. In recent years, our understanding of this condition, along with that of pruritus and the itch-scratch cycle, has increased greatly, enabling a substantial increase in treatment options. In addition, there are several new promising treatments currently in development and trials. This article discusses the definition, epidemiology, clinical characteristics, pathophysiology, and current therapeutic options for lichen simplex chronicus, in order to highlight recent advancements in this field...."
low blood potassium,"Potassium is an essential nutrient that performs a vital role in cellular functions including maintaining fluid balance and osmolality of cells. Potassium balance is maintained by the kidney and the majority of ingested potassium is excreted in the urine. There is strong evidence of a negative association between dietary potassium and blood pressure, and some evidence (much of it indirect) of negative associations between dietary potassium and cardiovascular disease (particularly stroke and coronary heart disease) and kidney disease (chronic renal failure, and kidney stones). Blood pressure lowering is particularly associated with high potassium and low sodium diets. Important dietary sources of potassium include fruit and vegetables (including rice, potatoes, legumes and wholegrains), dairy products, and animal proteins. Worldwide, diets are low in potassium compared to dietary guidelines. Interventions focused on increasing dietary potassium will have major benefits including improvements in diet, reducing non-communicable disease and enhancing planetary health...."
lumbago,"Low back pain is usually nonspecific or mechanical. Mechanical low back pain arises intrinsically from the spine, intervertebral disks, or surrounding soft tissues. Clinical clues, or red flags, may help identify cases of nonmechanical low back pain and prompt further evaluation or imaging. Red flags include progressive motor or sensory loss, new urinary retention or overflow incontinence, history of cancer, recent invasive spinal procedure, and significant trauma relative to age. Imaging on initial presentation should be reserved for when there is suspicion for cauda equina syndrome, malignancy, fracture, or infection. Plain radiography of the lumbar spine is appropriate to assess for fracture and bony abnormality, whereas magnetic resonance imaging is better for identifying the source of neurologic or soft tissue abnormalities. There are multiple treatment modalities for mechanical low back pain, but strong evidence of benefit is often lacking. Moderate evidence supports the use of nonsteroidal anti-inflammatory drugs, opioids, and topiramate in the short-term treatment of mechanical low back pain. There is little or no evidence of benefit for acetaminophen, antidepressants (except duloxetine), skeletal muscle relaxants, lidocaine patches, and transcutaneous electrical nerve stimulation in the treatment of chronic low back pain. There is strong evidence for short-term effectiveness and moderate-quality evidence for long-term effectiveness of yoga in the treatment of chronic low back pain. Various spinal manipulative techniques (osteopathic manipulative treatment, spinal manipulative therapy) have shown mixed benefits in the acute and chronic setting. Physical therapy modalities such as the McKenzie method may decrease the recurrence of low back pain and health care expenditures. Physical therapy modalities such as the McKenzie method may decrease the recurrence of low back pain and use of health care. Educating patients on prognosis and incorporating psychosocial components of care such as identifying comorbid psychological problems and barriers to treatment are essential components of long-term management...."
lung cancer,"Despite advances in our understanding of risk, development, immunologic control, and treatment options for lung cancer, it remains the leading cause of cancer death. Tobacco smoking remains the predominant risk factor for lung cancer development. Nontobacco risk factors include environmental and occupational exposures, chronic lung disease, lung infections, and lifestyle factors. Because tobacco remains the leading risk factor for lung cancer, disease prevention is focused on smoking avoidance and cessation. Other prevention measures include healthy diet choices and maintaining a physically active lifestyle. Future work should focus on smoking cessation campaigns and better understanding disease development and treatment strategies in nonsmokers...."
lupus nephritis,"SLE is a chronic inflammatory disease that affects the kidneys in about 50% of patients. Lupus nephritis is a major risk factor for overall morbidity and mortality in SLE, and despite potent anti-inflammatory and immunosuppressive therapies still ends in CKD or ESRD for too many patients. This review highlights recent updates in our understanding of disease epidemiology, genetics, pathogenesis, and treatment in an effort to establish a framework for lupus nephritis management that is patient-specific and oriented toward maintaining long-term kidney function in patients with lupus...."
lymphangitis,"To describe the clinical and pathological features of canine focal lipogranulomatous lymphangitis, to evaluate its underlying infectious cause and to compare it with human Crohn's disease...."
lymphedema,"Lymphedema is a localized form of tissue swelling resulting from excessive retention of lymphatic fluid in the interstitial compartment and caused by impaired lymphatic drainage. Lymphedema is classified as primary or secondary. Primary lymphedema is caused by developmental lymphatic vascular anomalies. Secondary lymphedema is acquired and arises as a result of an underlying systemic disease, trauma, or surgery. We performed PubMed and Google Scholar searches of the English-language literature (1966-2017) using the terms lymphedema, cancer-related lymphedema, and lymphatic complications. Relevant publications were manually reviewed for additional resources. This progressive chronic disease has serious implications on patients' quality of life. It is often misdiagnosed because it mimics other conditions of extremity swelling. There is no definitive cure for lymphedema. However, with proper diagnosis and management, its progression and potential complications may be limited...."
malaria,"Malaria has had a greater impact on world history than any other infectious disease. More than 300 to 500 million individuals worldwide are infected with Plasmodium spp, and 1.5 to 2.7 million people a year, most of whom are children, die from the infection. Malaria is endemic in over 90 countries in which 2400 million people live; this represents 40% of the world's population. Approximately 90% of malaria deaths occur in Africa. Despite continuing efforts in vaccine development, malaria prevention is difficult, and no drug is universally effective. This article examines malaria caused by the 4 most common Plasmodium spp that infect humans, P vivax, P ovale, P malariae, and P falciparum, as well as mixed infections and the simian parasite P knowlesi. A comprehensive review of the microbiology, clinical presentation, pathogenesis, diagnosis, and treatment of these forms of malaria is given...."
malignant otitis externa,"Malignant otitis externa is a progressive infection of the external auditory canal and skull base. Pseudomonas aeruginosa is the most isolated microorganism and it affects mostly to diabetic, elderly, and immunocompromised individuals. Non-resolving otalgia and chronic otorrhea are the clinical manifestations presented. Facial nerve palsy is a common and well recognized complication. (Computed tomography) CT scan is useful for initial assessment, Technetium-99m is highly sensitive and is part of the protocol for diagnosis. Treatment should be individualized, with multidisciplinary cooperation among specialties. Management involves systemic antipseudomonal antibiotics and monitoring with radiologic techniques, it also involves the strict control of diabetes. It is essential to follow up the patients for at least a year post-treatment. In refractory malignant otitis externa and affection of facial nerve, surgical management is recommended. We reviewed the most recent studies on epidemiology, clinical manifestations, diagnosis, and treatment to provide an update on Malignant Otitis Externa that can offer an overview for clinical practice and future research...."
mediastinitis,"Acute mediastinitis is a rare infection that carries high morbidity and mortality. They are complications seen most often with deep sternal wound infections from surgeries with median sternotomies, oropharyngeal and odontogenic infections and esophageal perforations. These conditions should be promptly recognized and treated. Mediastinal granulomas are focal, mass-like lesions commonly resulting from prior granulomatous infections. They are regarded as benign, self-resolving lesions however can cause complications by compression of adjacent mediastinal structures. Chronic fibrosing mediastinitis is a rare, diffuse fibroinflammatory process most often seen with granulomatous infections and carries a worse prognosis than mediastinal granulomas especially when adjacent mediastinal structures are compromised. In this review, we discuss the epidemiology, etiology, clinical presentation, treatment and prognosis of acute mediastinitis, mediastinal granulomas, and chronic fibrosing mediastinitis...."
meningitis,"Meningitis is defined as inflammation of the meninges, in almost all cases identified by an abnormal number of white blood cells in the cerebrospinal fluid and specific clinical signs/symptoms. Onset may be acute or chronic, and clinical symptoms of acute disease develop over hours to days. This article reviews the epidemiology, pathophysiology, clinical manifestations, diagnosis, and management of acute meningitis, and provides a list of key points for primary care practitioners. Aseptic and bacterial meningitis vary significantly and are discussed separately...."
migraine,Migraine continues second among the world's causes of disability. Diagnosis is based on the history and clinical examination and imaging is usually not necessary. Migraine can be subdivided depending on whether there is an aura or not and based on the frequency of the headaches. The number of headache days determines whether the patient has episodic migraine or chronic migraine. Treating migraines can be done to treatment the migraine itself and to prevent its appearance. In this review we approach the migraine from a practical point of view with updated information....
mononucleosis,"Infectious mononucleosis is a viral syndrome characterized by fever, pharyngitis, and posterior cervical lymphadenopathy. It is usually caused by Epstein-Barr virus and most often affects adolescents and young adults 15 to 24 years of age. Primary transmission is through close personal contact with a person who is infected, particularly their saliva. Cost-effective, efficient initial laboratory testing for acute infectious mononucleosis includes complete blood count with differential (to assess for greater than 40% lymphocytes and greater than 10% atypical lymphocytes) and a rapid heterophile antibody test. The heterophile antibody test has a sensitivity of 87% and specificity of 91% but can have a false-negative result in children younger than five years and in adults during the first week of illness. The presence of elevated liver enzymes increases clinical suspicion for infectious mononucleosis in the setting of a negative heterophile antibody test result. Epstein-Barr viral capsid antigen-antibody testing is more sensitive and specific but more expensive and takes longer to process than the rapid heterophile antibody test. Treatment of infectious mononucleosis is supportive; routine use of antivirals and corticosteroids is not recommended. Current guidelines recommend that patients with infectious mononucleosis not participate in athletic activity for three weeks from onset of symptoms. Shared decision-making should be used to determine the timing of return to activity. Immunosuppressed populations are at higher risk of severe disease and significant morbidity. Epstein-Barr virus infection has been linked to nine types of cancer, including Hodgkin lymphoma, non-Hodgkin lymphoma, and nasopharyngeal carcinoma, and some autoimmune diseases...."
mumps,"Mumps is an important childhood infectious disease caused by mumps virus (MuV). We reviewed the epidemiology, pathogenesis, and vaccine development of mumps. Previous studies were identified using the key words ""mumps"" and ""epidemiology"", ""pathogenesis"" or ""vaccine"" in MEDLINE, PubMed, Embase, Web of Science, and Google Scholar. We excluded the articles that were not published in the English language, manuscripts without abstracts, and opinion articles from the review. The number of cases caused by MuV decreased steeply after the introduction of the mumps vaccine worldwide. In recent years, a global resurgence of mumps cases in developed countries and cases of aseptic meningitis caused by some mumps vaccine strains have renewed the importance of MuV infection worldwide. The performance of mumps vaccination has become an important issue for controlling mumps infections. Vaccine development and routine vaccination are still effective measures to globally reduce the incidence of mumps infections. During outbreaks, a third of MMR vaccine is recommended for groups of persons determined by public authorities...."
myocarditis,"Myocarditis may present with a wide range of symptoms, ranging from mild dyspnea or chest pain that resolves without specific therapy to cardiogenic shock and death. Dilated cardiomyopathy with chronic heart failure is the major long-term sequela of myocarditis. Most often, myocarditis results from common viral infections; less commonly, specific forms of myocarditis may result from other pathogens, toxic or hypersensitivity drug reactions, giant-cell myocarditis, or sarcoidosis. The prognosis and treatment of myocarditis vary according to the cause, and clinical and hemodynamic data usually provide guidance to decide when to refer a patient to a specialist for endomyocardial biopsy. The aim of this review is to provide a practical and current approach to the evaluation and treatment of suspected myocarditis...."
